code_muni;ADM_DIRETA;SI;EF;EM;ES;POS_GRAD;ESTATUTARIOS;ESTATUTARIOS_SI;ESTATUTARIOS_EF;ESTATUTARIOS_EM;ESTATUTARIOS_ES;ESTATUTARIOS_POS;CLT;CLT_SI;CLT_EF;CLT_EM;CLT_ES;CLT_POS;COMISSIONADOS;COMISSIONADOS_SI;COMISSIONADOS_EF;COMISSIONADOS_EM;COMISSIONADOS_ES;COMISSIONADOS_POS;SEMVINC;SEMVINC_SI;SEMVINC_EF;SEMVINC_EF;SEMVINC_ES;SEMVINC_POS
130255;1011;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;108;0;35;58;0;15;0;0;0;0;0;0;80;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;823;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
130260;30737;200;8028;17762;4437;310;14048;200;2002;9239;2320;287;2221;0;112;1118;991;0;952;0;0;504;425;23;12821;0;5914;6206;701;0
130270;1626;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;901;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;549;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;154;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;22;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
130280;711;15;422;194;80;0;186;0;58;62;66;0;499;15;364;120;0;0;26;0;0;12;14;0;0;0;0;0;0;0
130290;2530;0;26;2009;459;36;939;0;15;555;354;15;1363;0;7;1305;51;0;195;0;4;147;42;2;33;0;0;2;12;19
130300;621;0;129;389;96;7;374;0;58;243;69;4;0;0;0;0;0;0;75;0;11;56;8;0;172;0;60;90;19;3
130310;1047;20;349;565;113;0;398;0;89;200;109;0;0;0;0;0;0;0;8;0;0;4;4;0;641;20;260;361;0;0
130320;542;0;263;138;141;0;145;0;59;21;65;0;0;0;0;0;0;0;20;0;0;3;17;0;377;0;204;114;59;0
130330;650;0;172;377;91;10;409;0;102;225;76;6;67;0;26;36;5;0;104;0;33;64;4;3;70;0;11;52;6;1
130340;3720;0;464;1706;1503;47;1360;0;44;346;970;0;0;0;0;0;0;0;60;0;0;10;50;0;2300;0;420;1350;483;47
130350;616;0;300;181;135;0;445;0;200;125;120;0;0;0;0;0;0;0;17;0;2;9;6;0;154;0;98;47;9;0
130353;2516;0;733;1226;506;51;1716;0;626;765;275;50;0;0;0;0;0;0;160;0;11;116;33;0;640;0;96;345;198;1
130356;733;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;341;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0;77;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;315;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
130360;433;0;235;145;50;3;189;0;75;70;44;0;0;0;0;0;0;0;15;0;0;15;0;0;229;0;160;60;6;3
130370;793;1;185;409;198;0;581;1;142;264;174;0;0;0;0;0;0;0;23;0;0;14;9;0;189;0;43;131;15;0
130380;1174;30;301;509;304;30;639;0;116;321;202;0;2;0;0;1;1;0;70;30;3;23;14;0;461;0;182;162;87;30
130390;251;0;0;200;32;19;150;0;0;138;12;0;69;0;0;35;17;17;32;0;0;27;3;2;0;0;0;0;0;0
130395;293;0;49;138;92;14;230;0;49;84;83;14;0;0;0;0;0;0;63;0;0;54;9;0;0;0;0;0;0;0
130400;551;0;112;298;141;0;135;0;26;27;82;0;341;0;68;218;55;0;27;0;3;20;4;0;48;0;15;33;0;0
130406;2091;0;1087;877;127;0;1098;0;629;419;50;0;0;0;0;0;0;0;123;0;0;101;22;0;870;0;458;357;55;0
130410;1180;20;789;270;101;0;963;20;637;240;66;0;0;0;0;0;0;0;40;0;3;30;7;0;177;0;149;0;28;0
130420;2129;257;1045;603;205;19;1144;0;636;370;120;18;929;257;390;201;80;1;23;0;0;18;5;0;33;0;19;14;0;0
130423;477;11;104;171;144;47;466;11;100;168;140;47;0;0;0;0;0;0;11;0;4;3;4;0;0;0;0;0;0;0
130426;609;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;103;0;0;74;29;0;40;0;0;40;0;0;20;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;446;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
130430;821;0;144;422;225;30;655;0;144;293;191;27;0;0;0;0;0;0;40;0;0;37;0;3;126;0;0;92;34;0
130440;469;0;29;136;304;0;345;0;16;88;241;0;91;0;3;25;63;0;32;0;10;22;0;0;0;0;0;0;0;0
140002;298;10;89;175;22;2;70;0;16;48;4;2;0;0;0;0;0;0;48;0;17;25;6;0;177;10;56;99;12;0
140005;555;0;136;345;43;31;315;0;73;199;30;13;69;0;10;44;7;8;2;0;0;2;0;0;168;0;53;99;6;10
140010;7519;0;2717;3165;1374;263;2346;0;398;951;734;263;0;0;0;0;0;0;1262;0;126;909;227;0;3911;0;2193;1305;413;0
140015;472;0;137;304;31;0;260;0;95;153;12;0;0;0;0;0;0;0;65;0;13;49;3;0;147;0;29;102;16;0
140017;425;1;100;282;40;2;90;0;31;36;21;2;0;0;0;0;0;0;57;0;9;42;6;0;278;1;60;204;13;0
140020;1113;0;162;781;167;3;87;0;0;70;17;0;833;0;93;609;131;0;84;0;0;64;17;3;47;0;7;38;2;0
140023;336;35;67;225;9;0;126;22;32;70;2;0;0;0;0;0;0;0;22;0;3;17;2;0;188;13;32;138;5;0
140028;241;9;43;169;17;3;149;7;39;94;9;0;0;0;0;0;0;0;34;2;4;28;0;0;57;0;0;46;8;3
140030;553;0;88;314;150;1;251;0;40;126;85;0;51;0;7;16;28;0;215;0;25;158;31;1;33;0;13;14;6;0
140040;406;0;101;286;13;6;86;0;28;58;0;0;0;0;0;0;0;0;62;0;11;49;1;1;258;0;62;179;12;5
140045;461;0;54;296;111;0;160;0;13;52;95;0;0;0;0;0;0;0;65;0;17;48;0;0;236;0;24;196;16;0
140047;393;0;142;210;41;0;194;0;61;106;27;0;0;0;0;0;0;0;174;0;56;104;14;0;25;0;25;0;0;0
140050;210;0;46;158;6;0;147;0;40;104;3;0;0;0;0;0;0;0;63;0;6;54;3;0;0;0;0;0;0;0
140060;319;80;52;155;25;7;95;17;23;45;7;3;0;0;0;0;0;0;40;4;4;20;12;0;184;59;25;90;6;4
140070;134;0;39;93;2;0;41;0;32;9;0;0;0;0;0;0;0;0;35;0;5;28;2;0;58;0;2;56;0;0
150010;3760;0;1629;1239;892;0;3564;0;1607;1132;825;0;0;0;0;0;0;0;196;0;22;107;67;0;0;0;0;0;0;0
150013;361;76;83;124;78;0;341;76;77;120;68;0;0;0;0;0;0;0;18;0;6;4;8;0;2;0;0;0;2;0
150020;2349;11;857;1220;261;0;1137;0;226;722;189;0;178;0;94;78;6;0;165;0;70;71;24;0;869;11;467;349;42;0
150030;2603;0;328;2215;56;4;1579;0;216;1319;40;4;0;0;0;0;0;0;128;0;0;118;10;0;896;0;112;778;6;0
150034;692;119;214;245;114;0;72;7;16;19;30;0;0;0;0;0;0;0;58;0;0;30;28;0;562;112;198;196;56;0
150040;1720;0;441;1109;161;9;1441;0;441;859;137;4;0;0;0;0;0;0;264;0;0;242;22;0;15;0;0;8;2;5
150050;2207;39;1488;662;15;3;1399;36;1063;296;3;1;0;0;0;0;0;0;128;0;32;82;12;2;680;3;393;284;0;0
150060;2861;90;986;1149;631;5;1749;18;618;637;471;5;0;0;0;0;0;0;179;0;18;124;37;0;933;72;350;388;123;0
150070;1140;0;492;507;117;24;875;0;337;397;117;24;0;0;0;0;0;0;105;0;10;95;0;0;160;0;145;15;0;0
150080;7273;123;1174;3709;2255;12;1736;37;198;579;918;4;557;0;7;497;53;0;2735;14;518;1568;632;3;2245;72;451;1065;652;5
150085;761;0;320;410;30;1;342;0;155;185;2;0;0;0;0;0;0;0;43;0;0;43;0;0;376;0;165;182;28;1
150090;1173;0;280;505;353;35;66;0;32;18;16;0;30;0;14;16;0;0;72;0;0;52;15;5;1005;0;234;419;322;30
150095;863;64;348;298;143;10;791;44;327;270;140;10;0;0;0;0;0;0;72;20;21;28;3;0;0;0;0;0;0;0
150100;755;0;302;369;84;0;710;0;282;356;72;0;0;0;0;0;0;0;22;0;8;8;6;0;23;0;12;5;6;0
150110;882;216;274;330;61;1;832;213;267;321;30;1;0;0;0;0;0;0;38;2;6;5;25;0;12;1;1;4;6;0
150120;1308;0;443;671;182;12;1216;0;375;651;178;12;0;0;0;0;0;0;32;0;8;20;4;0;60;0;60;0;0;0
150125;416;15;174;183;40;4;265;10;128;94;30;3;0;0;0;0;0;0;35;0;5;30;0;0;112;5;38;58;10;1
150130;4636;40;1373;2294;924;5;2563;20;844;1343;356;0;0;0;0;0;0;0;1093;12;344;597;137;3;980;8;185;354;431;2
150140;18805;1486;4885;6481;5420;533;12399;1113;2711;4120;3945;510;0;0;0;0;0;0;1628;46;191;689;691;11;4778;327;1983;1672;784;12
150145;745;4;101;519;119;2;56;0;6;19;29;2;0;0;0;0;0;0;42;0;5;26;11;0;647;4;90;474;79;0
150150;1256;0;380;432;371;73;425;0;85;126;181;33;0;0;0;0;0;0;97;0;0;55;34;8;734;0;295;251;156;32
150157;384;0;162;173;45;4;374;0;162;173;35;4;0;0;0;0;0;0;10;0;0;0;10;0;0;0;0;0;0;0
150160;315;5;59;235;16;0;223;0;49;165;9;0;0;0;0;0;0;0;25;0;0;22;3;0;67;5;10;48;4;0
150170;2320;63;556;1154;487;60;1875;15;402;1010;388;60;0;0;0;0;0;0;92;0;12;45;35;0;353;48;142;99;64;0
150172;600;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;411;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0;47;0;11;32;4;0;142;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
150175;274;1;87;130;40;16;224;0;84;87;38;15;0;0;0;0;0;0;47;1;3;40;2;1;3;0;0;3;0;0
150178;1803;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;1021;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0;232;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;550;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
150180;2692;0;921;1311;397;63;2158;0;735;993;367;63;0;0;0;0;0;0;122;0;23;85;14;0;412;0;163;233;16;0
150190;1000;0;380;405;215;0;595;0;295;190;110;0;0;0;0;0;0;0;105;0;0;70;35;0;300;0;85;145;70;0
150195;576;0;96;468;8;4;320;0;10;304;4;2;27;0;14;13;0;0;63;0;10;50;2;1;166;0;62;101;2;1
150200;810;0;673;107;30;0;651;0;571;62;18;0;0;0;0;0;0;0;34;0;18;12;4;0;125;0;84;33;8;0
150210;3643;0;Ignorado;Ignorado;246;15;2930;0;995;1685;235;15;4;0;4;0;0;0;109;0;0;98;11;0;600;0;Ignorado;Ignorado;0;0
150215;1354;0;553;583;218;0;290;0;137;102;51;0;0;0;0;0;0;0;169;0;7;128;34;0;895;0;409;353;133;0
