"","code_merge","code_muni","cand_reelec_2012","cand_sex_2012","cand_age_2012","cand_esc_2012","cand_reelec_2008","cand_sex_2008","cand_age_2008","cand_esc_2008","code_muni2","pop_2012","pop_2008","IDHM","UF.x","MUNICIPIO.x","log_to_brasilia","log_to_capital","Nome_UF","MicrorregiãoGeográfica_Nome","metropolitano","bur_escol_2008.x","bur_terc_2008.x","bur_espel_2008.x","bur_polit_2008.x","bur_escol_2008.y","bur_terc_2008.y","bur_espel_2008.y","bur_polit_2008.y","bur_consel_2008","bur_consel_2012","alinhamento_federal_2008","alinhamento_estadual_2008","alinhamento_politico_2008","alinhamento_ambos_2008","n_alinhado_2008","alinhamento_federal_2012","alinhamento_estadual_2012","alinhamento_politico_2012","alinhamento_ambos_2012","n_alinhado_2012","partido_pt_2012","competpol_NEP_2004","competpol_candvaga_2004","competpol_NEP_2008","competpol_candvaga_2008","municipio.x","Habilitado","inova7","UF.y","MUNICIPIO.y","municipio.y","rec_orcamento_2012","log_orcamento_2012","orcamento_proppop_2012"
"4554","SPitapolis",352270,"Sim","Masculino","53",1,"Não","Masculino","49",1,"3522703",40399,40196,0.744,"SP","Itápolis",6.48212827905002,5.74159193605175,"São Paulo","Araraquara",0,0.192893401015228,0,2.7753807106599,0.15989847715736,0.192893401015228,0,2.7753807106599,0.15989847715736,0,1,0,1,1,0,0,0,0,0,0,1,0,2.457246726,4,2.264884358,4,"itapolis","Não",0,"SP","Itapolis","itapolis",73953812.9,18.1189513063057,1830.58523478304
"4557","SPitapura",352300,"Sim","Masculino","45",1,"Não","Masculino","61",1,"3523008",4436,3935,0.72,"SP","Itapura",6.49217922712324,6.39146474978508,"São Paulo","Andradina",0,0.183279742765273,0.00643086816720257,267.083601286174,0.0514469453376206,0.183279742765273,0.00643086816720257,267.083601286174,0.0514469453376206,1,1,0,0,0,0,1,0,0,0,0,1,0,2.555611968,3,2.047724422,3,"itapura","Sim",1,"SP","Itapura","itapura",20708624.89,16.846060832809,4668.31038999098
"4561","SPitatiba",352340,"Sim","Masculino","60",1,"Sim","Masculino","57",1,"3523404",104533,97462,0.778,"SP","Itatiba",6.69899528653519,4.1546554093262,"São Paulo","Bragança Paulista",1,0.339847473784557,0.00571973307912297,2.86224976167779,0.0834127740705434,0.339847473784557,0.00571973307912297,2.86224976167779,0.0834127740705434,1,1,0,0,0,0,1,0,1,1,0,0,0,3.883014933,4,2.457149202,4,"itatiba","Sim",1,"SP","Itatiba","itatiba",239343669.46,19.2934110245706,2289.64699625955
"4564","SPitirapua",352370,"Não","Masculino","49",0,"Sim","Masculino","47",1,"3523701",5990,5862,0.707,"SP","Itirapuã",6.30208769911133,5.79538883408136,"São Paulo","Franca",0,0.346153846153846,0,4.85576923076923,0.125,0.346153846153846,0,4.85576923076923,0.125,0,1,0,0,0,0,1,0,1,1,0,0,0,2.258150134,3,1.897368361,2,"itirapua","Sim",1,"SP","Itirapua","itirapua",13639718.99,16.4284966082612,2277.08163439065
"4566","SPitu",352390,"Não","Masculino","56",1,"Sim","Masculino","52",1,"3523909",156983,155457,0.773,"SP","Itu",6.72719217520305,4.31294447348644,"São Paulo","Sorocaba",1,0.275754126351736,0.00597609561752988,0.934547524188958,0.0586226522481503,0.275754126351736,0.00597609561752988,0.934547524188958,0.0586226522481503,1,1,0,0,0,0,1,0,0,0,0,1,0,2.760941078,3,1.360454443,4,"itu","Sim",1,"SP","Itu","itu",405501142.75,19.8206342496415,2583.08952402489
"4568","SPituverava",352410,"Não","Masculino","56",1,"Sim","Masculino","63",1,"3524105",39062,40485,0.765,"SP","Ituverava",6.22886597016889,5.92919012762348,"São Paulo","Ituverava",0,0.38400789733465,0,874,0.0809476801579467,0.38400789733465,0,874,0.0809476801579467,1,1,0,1,1,0,0,0,1,1,0,0,0,2.701256765,4,1.423413399,2,"ituverava","Sim",1,"SP","Ituverava","ituverava",102905031.04,18.4493170921261,2634.40251497619
"4570","SPjaboticabal",352430,"Não","Masculino","60",1,"Sim","Masculino","47",1,"3524303",72305,72614,0.778,"SP","Jaboticabal",6.4137703840788,5.73104089842703,"São Paulo","Jaboticabal",0,0.291508238276299,0,1303.09252217997,0.0602027883396705,0.291508238276299,0,1303.09252217997,0.0602027883396705,1,1,0,0,0,0,1,0,0,0,0,1,0,3.29041013,5,1.822890011,3,"jaboticabal","Sim",1,"SP","Jaboticabal","jaboticabal",198903646.7,19.108331077995,2750.89754097227
"4574","SPjaguariuna",352470,"Não","Masculino","73",0,"Não","Masculino","37",1,"3524709",46533,40066,0.784,"SP","Jaguariúna",6.65477088565691,4.60746754503677,"São Paulo","Campinas",0,0.284477015323118,0,0.947368421052632,0.0526315789473684,0.284477015323118,0,0.947368421052632,0.0526315789473684,1,1,0,0,0,0,1,0,0,0,0,1,0,1.919140112,3,2.744870026,3,"jaguariuna","Sim",1,"SP","Jaguariuna","jaguariuna",208100869.1,19.1535334677127,4472.11374938216
"4577","SPjandira",352500,"Não","Masculino","48",1,"Não","Masculino","61",0,"3525003",110842,110325,0.76,"SP","Jandira",6.76643362088255,3.30725293548561,"São Paulo","Osasco",1,0.166994106090373,0,1655.00078585462,0.348133595284872,0.166994106090373,0,1655.00078585462,0.348133595284872,1,1,1,0,1,0,0,0,1,1,0,0,0,2.513638159,4,2.868274008,3,"jandira","Sim",1,"SP","Jandira","jandira",188362763.37,19.0538802539158,1699.38077055629
"4578","SPjardinopolis",352510,"Sim","Masculino","61",1,"Não","Masculino","57",1,"3525102",38708,36872,0.735,"SP","Jardinópolis",6.36767247414903,5.71807977935703,"São Paulo","Ribeirão Preto",0,0.223867595818815,0.0235191637630662,29.9303135888502,0.0156794425087108,0.223867595818815,0.0235191637630662,29.9303135888502,0.0156794425087108,1,1,0,0,0,0,1,0,0,0,0,1,0,2.804731545,4,1.830958532,3,"jardinopolis","Sim",1,"SP","Jardinopolis","jardinopolis",84639432.68,18.2539108233108,2186.61343081534
