"Habilitado";"UF";"Prefeitura"
"499";"Sim";"GO";"caiaponia"
"500";"Sim";"GO";"jatai"
"501";"Sim";"GO";"mairipotaba"
"502";"Sim";"GO";"sao simao"
"503";"Sim";"GO";"goiatuba"
"504";"Não";"ES";"conceicao barra/es"
"505";"Sim";"ES";"linhares"
"506";"Sim";"ES";"fundao"
"507";"Sim";"ES";"venda nova do imigrante"
"508";"Sim";"DF";"gama - ra ii."
"509";"Sim";"CE";"baturite"
"510";"Sim";"CE";"ocara"
"511";"Sim";"CE";"redencao"
"512";"Sim";"CE";"croata"
"513";"Sim";"CE";"tamboril"
"514";"Sim";"CE";"fortim"
"515";"Sim";"CE";"hidrolandia"
"516";"Sim";"CE";"ibicuitinga"
"517";"Sim";"BA";"ourolandia"
"518";"Sim";"BA";"curaca"
"519";"Sim";"BA";"lauro de freitas"
"520";"Sim";"AM";"parintins"
"521";"Sim";"AP";"porto grande"
"522";"Sim";"AP";"tartarugalzinho"
"523";"Sim";"AL";"penedo"
"524";"Sim";"AL";"boca da mata"
"525";"Sim";"AL";"mata grande"
"526";"Sim";"AL";"ibateguara"
"527";"Sim";"AL";"poco das trincheiras"
"528";"Não";"AC";"acrelandia"
"529";"Não";"AC";"rio branco - ac"
"530";"Sim";"TO";"paraiso do tocantins"
"531";"Sim";"SP";"dracena"
"532";"Sim";"SP";"mombuca"
"533";"Sim";"SP";"vinhedo"
"534";"Não";"SP";"santa isabel"
"535";"Sim";"SP";"cajamar"
"536";"Sim";"SP";"itapira"
"537";"Não";"SP";"palmares paulista"
"538";"Sim";"SP";"araraquara"
"539";"Sim";"SP";"santa lucia"
"540";"Sim";"SP";"junqueiropolis"
"541";"Sim";"SP";"botucatu"
"542";"Não";"SP";"americo de campos"
"543";"Sim";"SP";"itariri"
"544";"Sim";"SP";"cajobi"
"545";"Sim";"SP";"guarulhos"
"546";"Sim";"SP";"ipaussu - sp"
"547";"Sim";"SP";"sao roque"
"548";"Sim";"SP";"sales"
"549";"Sim";"SP";"descalvado"
"550";"Sim";"SP";"taruma - sp"
"551";"Sim";"SP";"ribeirao pires"
"552";"Sim";"SP";"sao miguel arcanjo"
"553";"Sim";"SP";"borborema"
"554";"Sim";"SP";"diadema"
"555";"Sim";"SP";"pirituba/jaragua"
"556";"Sim";"SP";"marilia"
"557";"Sim";"SP";"lucelia"
"558";"Sim";"SP";"pirajui"
"559";"Sim";"SP";"morungaba"
"560";"Sim";"SP";"monte mor"
"561";"Sim";"SP";"rio das pedras"
"562";"Sim";"SP";"leme"
"563";"Sim";"SP";"paraguacu paulista"
"564";"Sim";"SP";"dobrada"
"565";"Sim";"SP";"morro agudo/sp"
"566";"Sim";"SP";"ferraz de vasconcelos"
"567";"Sim";"SP";"rafard"
"568";"Sim";"SP";"sao vicente"
"569";"Sim";"SP";"ipigua"
"570";"Sim";"SP";"municipio de votuporanga"
"571";"Sim";"SC";"ponte serrada"
"572";"Sim";"SC";"municipio de palhoca"
"573";"Sim";"SC";"cacador"
"574";"Sim";"SC";"chapeco"
"575";"Sim";"SC";"schroeder"
"576";"Sim";"RO";"porto velho"
"577";"Sim";"RO";"cacoal"
"578";"Sim";"RS";"macambara"
"579";"Sim";"RS";"sapiranga"
"580";"Sim";"RS";"caxias do sul"
"581";"Sim";"RS";"charqueadas"
"582";"Sim";"RS";"pedras altas"
"583";"Sim";"RS";"ronda alta"
"584";"Sim";"RS";"sao valerio do sul"
"585";"Sim";"RS";"caseiros"
"586";"Sim";"RS";"quinze de novembro"
"587";"Sim";"RS";"sao gabriel"
"588";"Sim";"RS";"passo do sobrado"
"589";"Sim";"RS";"nova petropolis"
"590";"Sim";"RS";"forquetinha"
"591";"Sim";"RS";"arroio dos ratos"
"592";"Sim";"RS";"santana do livramento"
"593";"Sim";"RS";"panambi"
"594";"Sim";"RS";"paverama"
"595";"Sim";"RS";"santa maria"
"596";"Sim";"RS";"capivari do sul"
"597";"Sim";"RS";"arroio grande"
"598";"Sim";"RN";"timbauba dos batistas"
"599";"Sim";"RN";"major sales"
"600";"Sim";"RN";"janduis"
"601";"Sim";"RN";"tangara"
"602";"Sim";"RN";"apodi"
"603";"Sim";"RN";"mossoro-rn"
"604";"Não";"RJ";"sao joao da barra"
"605";"Sim";"RJ";"municipio: rio das ostras"
"606";"Sim";"RJ";"iguaba grande"
"607";"Sim";"RJ";"casimiro de abreu"
"608";"Sim";"RJ";"sao fidelis"
"609";"Sim";"RJ";"sao ggoncalo"
"610";"Sim";"RJ";"municipio de tres rios"
"611";"Sim";"RJ";"barra mansa"
"612";"Sim";"RJ";"cantagalo"
"613";"Sim";"RJ";"cordeiro"
"614";"Sim";"RJ";"pinheiral"
"615";"Sim";"RJ";"areal"
"616";"Sim";"RJ";"duque de caxias"
"617";"Sim";"RJ";"nova friburgo"
"618";"Sim";"RJ";"porciuncula"
"619";"Sim";"PI";"bocaina"
"620";"Sim";"PI";"picos"
"621";"Sim";"PE";"bom jardim"
"622";"Sim";"PE";"timbauba"
"623";"Sim";"PE";"caruaru"
"624";"Sim";"PE";"ferreiros"
"625";"Sim";"PE";"aracoiaba"
"626";"Sim";"PE";"macaparana"
"627";"Sim";"PE";"machados"
"628";"Sim";"PE";"jaboatao dos guararapes"
"629";"Sim";"PE";"sao caetano"
"630";"Sim";"PE";"riacho das almas"
"631";"Sim";"PE";"quipapa"
"632";"Sim";"PE";"sertania"
"633";"Sim";"PE";"lagoa de itaenga"
"634";"Sim";"PE";"panelas"
"635";"Sim";"PE";"casinhas"
"636";"Sim";"PE";"taquaritinga do norte"
"637";"Sim";"PE";"lagoa do carro"
"638";"Sim";"PE";"brejinho"
"639";"Sim";"PR";"maringa"
"640";"Sim";"PB";"cabaceiras"
"641";"Sim";"PB";"picui"
"642";"Sim";"PB";"pedras de fogo"
"643";"Sim";"PB";"boqueirao /cariri"
"644";"Sim";"PB";"nova palmeira"
"645";"Sim";"PB";"gurjao"
"646";"Sim";"PB";"matinhas"
"647";"Sim";"PA";"braganca"
"648";"Sim";"PA";"santarem"
"649";"Sim";"PA";"barcarena"
"650";"Sim";"PA";"ananindeua"
"651";"Sim";"MG";"santana do riacho"
"652";"Sim";"MG";"buritizeiro"
"653";"Sim";"MG";"monsenhor paulo"
"654";"Sim";"MG";"monte azul"
"655";"Sim";"MG";"itabira"
"656";"Sim";"MG";"prefeito municipal"
"657";"Sim";"MG";"piedade dos gerais"
"658";"Sim";"MG";"cambui"
"659";"Sim";"MG";"oliveira"
"660";"Sim";"MG";"campo belo"
"661";"Sim";"MG";"itanhandu-mg"
"662";"Sim";"MG";"itauna"
"663";"Sim";"MG";"taiobeiras"
"664";"Sim";"MG";"eloi mendes"
"665";"Sim";"MG";"itabirinha"
"666";"Sim";"MG";"ipatinga"
"667";"Sim";"MG";"leme do prado"
"668";"Sim";"MG";"miradouro"
"669";"Sim";"MS";"sao gabriel do oeste"
"670";"Sim";"MS";"bataypora-ms"
"671";"Sim";"MS";"selviria"
"672";"Sim";"MS";"ivinhema"
"673";"Sim";"MS";"jardim"
"674";"Sim";"MT";"curvelandia"
"675";"Sim";"MT";"campos de julio"
"676";"Sim";"MT";"nova xavantina"
"677";"Sim";"MT";"cuiaba"
"678";"Sim";"MT";"conquista doeste"
"679";"Sim";"MT";"lucas do rio verde - mato grosso"
"680";"Sim";"MT";"agua boa - mt"
"681";"Sim";"MT";"denise"
"682";"Não";"MT";"rosario oeste"
"683";"Sim";"MT";"alta floresta - mt"
"684";"Sim";"MT";"terra nova do norte"
"685";"Sim";"MT";"tangara da serra"
